Complexity,Loss,Equation
1,2.2111094,"1.0384309"
3,1.8182697,"T * 0.003026367"
4,0.7463855,"sqrt(T) + -18.969444"
6,0.41496524,"exp(0.01392042 * T) * 0.0044082142"
8,0.24108942,"(T * 8.920171e-6) * exp(0.01392042 * T)"
11,0.16202024,"((0.01392042 * T) + -4.7439036) * ((0.01392042 * T) + -4.7439036)"
12,0.1493143,"0.0029866656 * (((T * 0.009181819) + -3.1908996) * exp(0.01392042 * T))"
13,0.13401268,"((0.01392042 * T) + -4.7439036) * ((0.01392042 * (T * 0.9868841)) + -4.7439036)"
15,0.117653646,"((T * ((T * 0.009181819) + -3.1908996)) * 0.0044082142) * ((T * 0.009181819) + -3.1908996)"
