seed,nguyen_id,h_observed_iterations,p_observed_iterations,h_from_archived_hof_csv,p_from_archived_hof_csv,h_first_threshold_iteration,p_first_threshold_iteration,h_first_threshold_time_seconds,p_first_threshold_time_seconds,h_final_best_loss,p_final_best_loss,h_final_expression,p_final_expression,same_final_expression,same_final_r2,warm_start_status,effective_method,h_independent_fit
99,N1,59,1,False,False,1,1,17.542899131774902,0.02110004425048828,1.5942759e-15,1.5942759e-15,x + ((sin(x) + ((((sin(x) * x) + -9.371494e-9) + sin(x)) + (sin(x) * x))) * ((0.5 / sin(x)) * ((x * x) + 2.1497903e-9))),x + ((sin(x) + ((((sin(x) * x) + -9.371494e-9) + sin(x)) + (sin(x) * x))) * ((0.5 / sin(x)) * ((x * x) + 2.1497903e-9))),False,True,used,pysr_warm_start,True
99,N10,126,104,False,False,12,21,4.726272821426392,5.328392267227173,1.1081413e-15,1.3205636e-15,(sin(x) * (cos(y) ^ ((1.0000002 ^ cos(x)) ^ (y ^ x)))) + (cos(y ^ 0.99999976) * sin((1.0000001 ^ sin(sin(sin(y)))) * x)),(cos(y) + cos(y / ((0.9999999 ^ (x * (0.73380476 / y))) ^ cos((-0.85267776 - y) / (x * 0.10084015))))) * sin(x),False,True,used,pysr_warm_start,True
99,N11,95,1,False,False,1,1,0.7793166637420654,0.0232698917388916,4.806405e-16,4.806405e-16,x ^ (((0.9999999 ^ (-0.65571094 / (x - 0.9998133))) ^ (0.12839462 / cos(cos(sin((x - (y * y)) / (sin(x) / 0.75003856)))))) * y),x ^ (((0.9999999 ^ (-0.65571094 / (x - 0.9998133))) ^ (0.12839462 / cos(cos(sin((x - (y * y)) / (sin(x) / 0.75003856)))))) * y),False,True,used,pysr_warm_start,True
99,N12,62,1,False,False,1,1,0.6785173416137695,0.026154518127441406,1.5807289e-15,1.5807289e-15,(((x * (y * ((x ^ 3.0) / y))) + (y * (y / 2.0))) - (y * ((x ^ 3.0) / ((y * y) / y)))) - y,(((x * (y * ((x ^ 3.0) / y))) + (y * (y / 2.0))) - (y * ((x ^ 3.0) / ((y * y) / y)))) - y,False,False,used,pysr_warm_start,True
99,N2,77,1,False,False,1,1,0.6762435436248779,0.020946741104125977,2.442057e-15,2.442057e-15,((x * x) * ((x * x) / x)) + ((((x * x) / (((0.99999994 / x) * x) ^ cos(0.9112133 - x))) + x) + (x ^ 4.0)),((x * x) * ((x * x) / x)) + ((((x * x) / (((0.99999994 / x) * x) ^ cos(0.9112133 - x))) + x) + (x ^ 4.0)),False,True,used,pysr_warm_start,True
99,N3,65,1,False,False,1,1,0.6285631656646729,0.022983789443969727,2.9790623e-15,2.9790623e-15,x + (((x + 4.7510486e-8) * ((x * (x + (((x * x) * (x + -2.026743e-7)) + -2.0118847e-8))) * (x + 1.0))) * ((x / x) / x)),x + (((x + 4.7510486e-8) * ((x * (x + (((x * x) * (x + -2.026743e-7)) + -2.0118847e-8))) * (x + 1.0))) * ((x / x) / x)),False,True,used,pysr_warm_start,True
99,N4,54,1,False,False,1,1,0.6775588989257812,0.022409915924072266,5.496862e-15,5.496862e-15,(sqrt(x ^ 4.0) + (((x ^ 3.0) + (x + (x ^ 4.0))) + (((x ^ 6.0) + (x ^ 5.0)) - ((x * x) / x)))) + x,(sqrt(x ^ 4.0) + (((x ^ 3.0) + (x + (x ^ 4.0))) + (((x ^ 6.0) + (x ^ 5.0)) - ((x * x) / x)))) + x,False,True,used,pysr_warm_start,True
99,N5,23,1,False,False,1,1,0.7306888103485107,0.022873401641845703,5.551115e-16,5.551115e-16,(((sin(x ^ 2.0) / x) * x) * cos(x * ((x * (1.0 / x)) ^ sin(1.456327 - x)))) - 1.0,(((sin(x ^ 2.0) / x) * x) * cos(x * ((x * (1.0 / x)) ^ sin(1.456327 - x)))) - 1.0,False,True,used,pysr_warm_start,True
99,N6,58,1,False,False,1,1,0.8792769908905029,0.024600982666015625,1.0654889e-15,1.0654889e-15,sin(x) + sin((((((x + ((x * x) - -1.8990507e-8)) / (x - -1.8990507e-8)) - -1.5558975e-8) * x) * x) / ((x * x) / x)),sin(x) + sin((((((x + ((x * x) - -1.8990507e-8)) / (x - -1.8990507e-8)) - -1.5558975e-8) * x) * x) / ((x * x) / x)),False,True,used,pysr_warm_start,True
99,N7,34,1,False,False,1,1,0.727515459060669,0.023340702056884766,3.5818135e-15,3.5818135e-15,log((sqrt((sqrt(x) + ((x - sqrt(sqrt(x) ^ 4.0)) / 1.2665472)) ^ 4.0) + ((sqrt(x) ^ 4.0) + (x * (x ^ 2.0)))) + 1.0),log((sqrt((sqrt(x) + ((x - sqrt(sqrt(x) ^ 4.0)) / 1.2665472)) ^ 4.0) + ((sqrt(x) ^ 4.0) + (x * (x ^ 2.0)))) + 1.0),False,False,used,pysr_warm_start,True
99,N8,69,59,False,False,1,1,0.7304849624633789,0.6805417537689209,9.492407e-16,1.5931701e-15,sqrt(x / (sqrt(sqrt(x) / (x / sqrt(x))) ^ sin((exp(exp(x)) + exp(sin(-37.715683 * x))) / x))) + (-1.9509934e-9 / (x - 1.2114286)),sqrt(x - (2.3307347e-9 / (sin((x + -1.2119195) * (x ^ x)) / (x ^ (log(5.376646 - x) + 0.99969596))))),True,True,used,pysr_warm_start,True
99,N9,79,1,False,False,1,1,0.6833038330078125,0.02534341812133789,5.4915867e-16,5.4915867e-16,((x * (y * 4.1957897e-8)) + (y / y)) * (sin((y ^ 2.0) + (((x - (y + -0.40618354)) * y) * -1.7505663e-8)) + sin(x)),((x * (y * 4.1957897e-8)) + (y / y)) * (sin((y ^ 2.0) + (((x - (y + -0.40618354)) * y) * -1.7505663e-8)) + sin(x)),False,True,used,pysr_warm_start,True
