seed,nguyen_id,h_observed_iterations,p_observed_iterations,h_from_archived_hof_csv,p_from_archived_hof_csv,h_first_threshold_iteration,p_first_threshold_iteration,h_first_threshold_time_seconds,p_first_threshold_time_seconds,h_final_best_loss,p_final_best_loss,h_final_expression,p_final_expression,same_final_expression,same_final_r2,warm_start_status,effective_method,h_independent_fit
42,N1,56,1,False,False,1,1,16.074926137924194,0.019646406173706055,1.6012813e-15,1.6012813e-15,(((x / 4.095364) * sin(x)) / sin(x)) + ((((sin(x) * ((x * x) / ((x * sin(x)) / x))) + x) + 0.75582147) * x),(((x / 4.095364) * sin(x)) / sin(x)) + ((((sin(x) * ((x * x) / ((x * sin(x)) / x))) + x) + 0.75582147) * x),False,True,used,pysr_warm_start,True
42,N10,123,123,False,False,18,18,3.8054723739624023,3.8054723739624023,1.1221063e-15,1.1221063e-15,((3.290958e-8 * x) + cos(y + ((sin(sin(((x - 1.0) / -2.7196773e-8) - (0.309263 / x))) - sqrt(x)) * -2.7900551e-8))) * (sin(x) * 2.0),((3.290958e-8 * x) + cos(y + ((sin(sin(((x - 1.0) / -2.7196773e-8) - (0.309263 / x))) - sqrt(x)) * -2.7900551e-8))) * (sin(x) * 2.0),True,True,no_candidates_returned,pysr_cold_copy,False
42,N11,115,1,False,False,1,1,0.6749300956726074,0.02103400230407715,3.065297e-16,3.065297e-16,sqrt(sqrt((x ^ ((0.99999994 ^ cos((y ^ 7.464532) * 2.550215)) * 4.0)) ^ y)),sqrt(sqrt((x ^ ((0.99999994 ^ cos((y ^ 7.464532) * 2.550215)) * 4.0)) ^ y)),False,True,used,pysr_warm_start,True
42,N12,40,86,False,False,1,31,0.6242847442626953,6.435093402862549,2.3708696e-15,2.0234478e-15,(x ^ 4.0) + (((((((x * x) + ((y + 0.02419333) * -0.023732455)) * x) * 3.1958876e-8) - (x ^ 3.0)) - y) + ((y ^ 2.0) / 2.0)),(((x * (x * (((x - (x * -3.0062115e-8)) + -1.0) / x))) * ((x + (x * -3.0062115e-8)) * x)) + ((y * 0.5) * y)) - y,False,True,used,pysr_warm_start,True
42,N2,29,1,False,False,1,1,0.622323751449585,0.018422603607177734,4.72543e-15,4.72543e-15,sin(x) + (((x ^ 4.0) / x) + (((x ^ 4.0) / (x * x)) + ((x + (x ^ 4.0)) - sin(x)))),sin(x) + (((x ^ 4.0) / x) + (((x ^ 4.0) / (x * x)) + ((x + (x ^ 4.0)) - sin(x)))),False,True,used,pysr_warm_start,True
42,N3,57,1,False,False,1,1,0.5741407871246338,0.020223379135131836,8.350135e-15,8.350135e-15,(((((((x ^ 2.0) + ((x ^ 4.0) + sin(x))) - x) + (x ^ 5.0)) + x) + x) + (x ^ 3.0)) - sin(x),(((((((x ^ 2.0) + ((x ^ 4.0) + sin(x))) - x) + (x ^ 5.0)) + x) + x) + (x ^ 3.0)) - sin(x),True,True,used,pysr_warm_start,True
42,N4,41,1,False,False,1,1,0.6237514019012451,0.01964402198791504,6.6208826e-15,6.6208826e-15,((((x ^ 4.0) + (x + (x ^ 5.0))) + x) + (x * (x ^ 5.0))) + (((x ^ 3.0) + (x ^ 2.0)) - x),((((x ^ 4.0) + (x + (x ^ 5.0))) + x) + (x * (x ^ 5.0))) + (((x ^ 3.0) + (x ^ 2.0)) - x),False,False,used,pysr_warm_start,True
42,N5,19,28,False,False,1,5,0.6244165897369385,0.9790270328521729,5.551115e-16,4.6629365e-16,(((((1.0 / x) * (x * sin(x ^ 2.0))) * x) / x) * cos((x * x) / x)) - 1.0,((-1.5599978e-8 / (exp(x * -0.38979083) / x)) + ((sin(x * x) * cos(x)) - 0.837684)) + -0.16231602,False,True,used,pysr_warm_start,True
42,N6,27,1,False,False,1,1,0.6249399185180664,0.020584821701049805,1.1144948e-15,1.1144948e-15,sin(x) + ((sin((((((x + (x * x)) / x) - 3.2505116e-9) * sin(x)) * x) / ((sin(x) * x) / x)) * x) / x),sin(x) + ((sin((((((x + (x * x)) / x) - 3.2505116e-9) * sin(x)) * x) / ((sin(x) * x) / x)) * x) / x),False,True,used,pysr_warm_start,True
42,N7,40,1,False,False,1,1,0.6759753227233887,0.020746231079101562,2.7425652e-15,2.7425652e-15,log((((sqrt(x) + (((1.095643 + x) - x) + (((x - ((1.095643 + x) - x)) + (x * x)) - sqrt(x)))) + 1.0) * x) + 1.0),log((((sqrt(x) + (((1.095643 + x) - x) + (((x - ((1.095643 + x) - x)) + (x * x)) - sqrt(x)))) + 1.0) * x) + 1.0),False,False,used,pysr_warm_start,True
42,N8,53,1,False,False,1,1,0.6236767768859863,0.0210268497467041,4.9543704e-16,4.9543704e-16,sqrt((x + ((-3.296489e-9 / cos((x + -1.9023132) / 0.43955523)) + ((-3.296489e-9 / (x + -1.9023132)) / (sin(x) + 0.2338522)))) + (-3.296489e-9 / sin(x + 0.17757477))),sqrt((x + ((-3.296489e-9 / cos((x + -1.9023132) / 0.43955523)) + ((-3.296489e-9 / (x + -1.9023132)) / (sin(x) + 0.2338522)))) + (-3.296489e-9 / sin(x + 0.17757477))),False,True,used,pysr_warm_start,True
42,N9,66,89,False,False,1,3,0.8771505355834961,0.9290084838867188,8.643802e-16,9.161833e-16,sin(x + ((sin(y) * (sin(sin(x * (y * (x * exp(x + x)))) * exp(x)) * -1.2140158e-7)) * y)) + sin(y * y),(((sin(y * y) - ((x + 0.49650785) * -1.34316895e-8)) + (-7.4129005e-9 - sin(x))) - (sin(exp(exp(y / 0.5767058))) * 1.8293477e-8)) + (sin(x) + sin(x)),False,True,used,pysr_warm_start,True
