seed,nguyen_id,h_observed_iterations,p_observed_iterations,h_first_threshold_iteration,p_first_threshold_iteration,h_first_threshold_time_seconds,p_first_threshold_time_seconds,h_final_best_loss,p_final_best_loss,h_final_expression,p_final_expression,same_final_expression,same_final_r2,warm_start_status,effective_method,h_independent_fit
2024,N1,1,1,1,1,283.1410479545593,225.79427766799927,1.9769777e-15,1.6003502e-15,x * ((((exp(((exp(sin((754.4657 ^ x) / (x ^ 2.0)) + x) * x) - 0.48062646) * 0.48062646) * -2.1204464e-8) + x) + 1.0) + (x ^ 2.0)),((x * (((x + 0.62783116) * x) + -1.695418e-8)) + 1.6526235e-8) + (x + ((((1.3191313 / sin(cos(x))) - x) * -8.194109e-9) + ((x * 0.3721688) * x))),False,True,used,pysr_warm_start,True
2024,N10,1,1,1,1,458.17098808288574,458.17098808288574,1.0669634e-15,1.0669634e-15,cos(y) * (2.0 * sin(x * (cos((x ^ ((y + y) ^ cos(log(x)))) * 0.00027928333) ^ cos(log(sqrt((x * y) ^ x)))))),cos(y) * (2.0 * sin(x * (cos((x ^ ((y + y) ^ cos(log(x)))) * 0.00027928333) ^ cos(log(sqrt((x * y) ^ x)))))),True,True,no_candidates_returned,pysr_cold_copy,False
2024,N11,1,1,1,1,466.8259162902832,403.4392147064209,5.2387564e-16,4.7737014e-16,x ^ (y + (((y * x) * (((sin((x ^ x) * y) ^ sin(y * (y - 0.53984064))) ^ (x * y)) ^ y)) * -7.770121e-8)),(3.663414e-10 / log(x * (y ^ 0.32342222))) + ((x ^ (y - ((x ^ y) * (y * 6.607666e-8)))) - ((x * -1.3536132e-8) * (y * x))),False,True,used,pysr_warm_start,True
2024,N12,1,1,1,1,235.32666516304016,217.5885534286499,1.910183e-15,1.4052266e-15,((((((y ^ 2.0) / ((2.0 - y) + y)) - (x ^ 3.0)) - y) + (x * (x ^ 3.0))) + sin(sin(y))) - sin(sin(y)),(((((x * x) - x) * x) * x) + (((y - (y * (y * -0.12942441))) - y) - ((y * y) * -0.3705756))) - y,False,True,used,pysr_warm_start,True
2024,N2,1,1,1,1,214.91931247711182,212.28761458396912,1.9927202e-15,2.0102627e-15,(((x * (x - -2.6713145e-8)) - -3.7960742e-8) + x) + ((x + ((((x + -1.02043856e-7) * ((x * x) + x)) * x) + -2.6713145e-8)) - x),(((x + 5.336151e-8) * x) + ((((((x * 0.99999994) * ((x + (x * x)) + 2.5536567e-8)) - 2.9411154e-8) * (x + 2.8913542e-8)) + x) - x)) + x,False,True,used,pysr_warm_start,True
2024,N3,1,1,1,1,250.25326108932495,498.26258540153503,7.0905577e-15,2.3039295e-06,(x * ((x + ((x ^ 4.0) - 2.7522148e-8)) + ((-2.243753e-8 / x) + (x ^ 2.0)))) + (((x ^ 4.0) + (exp(x) * 1.1478759e-8)) + x),(x * (((cos(cos(exp(cos(x)) / -0.2979752)) + sin(x * (0.46799934 ^ (x - 1.7196156)))) * -0.027095284) + ((x + 1.4925205) ^ x))) / (0.48932564 ^ x),False,False,used,pysr_warm_start,True
2024,N4,1,1,1,1,254.46570348739624,306.38790249824524,5.1483573e-15,5.806746e-09,((x + (((((x ^ 2.0) + (x + (x ^ 6.0))) + (x ^ 4.0)) + (x ^ 3.0)) + ((x ^ 5.0) - x))) + x) - x,x * (((x / x) + x) * (exp((x * x) + -0.00069399027) + (sin(sin((((x * x) * sin(x)) * x) ^ 0.93843156)) * 0.4155619))),False,False,used,pysr_warm_start,True
2024,N5,1,1,1,1,289.8428146839142,289.06520771980286,3.9968028e-16,3.9968028e-16,(sin(cos((x + -0.09301667) * -0.00025657326) * (x * x)) * cos(x * cos((sin(4.5557337 / x) / x) * -0.00019628009))) + -1.0,(sin(cos((x + -0.09301667) * -0.00025657326) * (x * x)) * cos(x * cos((sin(4.5557337 / x) / x) * -0.00019628009))) + -1.0,True,True,engine_rejected,pysr_cold_fallback,True
2024,N6,1,1,1,1,261.10969400405884,301.8075978755951,1.0586218e-15,9.784071e-16,sin(((((((x * (x * x)) / x) * (((x + 1.0) / x) / x)) * 0.76674885) * x) * (x * 1.304208)) / x) + sin(x),sin(x) + sin(((x + 1.0) * x) / cos(0.000356542 * sin((cos(exp(-0.64695483 * (x / 0.040022656))) / -0.00038572558) * (exp(x) - cos(-0.73153484))))),False,True,used,pysr_warm_start,True
2024,N7,1,1,1,1,325.64084672927856,505.771372795105,2.5361657e-15,3.1255013e-08,log((((((x + 1.0) / x) * (x * x)) * x) + x) + (1.0000001 ^ (x * (x * cos((exp(x) * x) / cos(x)))))),(((x + 0.0072877826) * sqrt(sqrt(sin(x + 0.33877438) + (sin(x) ^ cos((x / 0.9400746) ^ (x ^ (-0.32286727 / sqrt(sin(x))))))))) * 1.1754912) - 0.0025285415,False,False,used,pysr_warm_start,True
2024,N8,1,1,1,1,473.2810730934143,508.8135914802551,8.937296e-16,8.937296e-16,sqrt((((x ^ -6.546792e-8) ^ sin(x ^ 12.08938)) ^ sin(sin(x ^ x) + 0.8414709)) * x),sqrt(((sqrt(x ^ -2.3862572e-8) ^ sin(sin(x) * -6.1032015e6)) * (sqrt(x ^ -2.3041355e-8) ^ ((x ^ sin(x * -6.1032015e6)) * sin(x)))) * x),False,True,used,pysr_warm_start,True
2024,N9,1,1,1,1,267.94404125213623,291.9443998336792,5.2697784e-16,4.9840366e-16,sin(((exp(y) + (0.21852912 + (sin((y + (0.6941352 / x)) * y) / (y + 1.1152439)))) * (x * -1.9003618e-8)) + x) + sin(y ^ 2.0),sin(y * (y - 1.681234e-8)) + sin(x + ((((y * sin(y - (1.681234e-8 ^ (y + (1.681234e-8 ^ x))))) + 0.36597747) * (x + 0.116841875)) * -5.5155652e-8)),False,True,used,pysr_warm_start,True
