seed,nguyen_id,h_observed_iterations,p_observed_iterations,h_first_threshold_iteration,p_first_threshold_iteration,h_first_threshold_time_seconds,p_first_threshold_time_seconds,h_final_best_loss,p_final_best_loss,h_final_expression,p_final_expression,same_final_expression,same_final_r2,warm_start_status,effective_method,h_independent_fit
99,N1,1,1,1,1,214.93099880218506,186.77689957618713,1.3029508e-15,1.6953452e-15,x + (((x * ((x * -1.6727723e-8) + 0.041283384)) + (((x + (((x + 0.95871663) * x) - x)) + x) - x)) * x),x + ((x * (x + (((((x * (x - (-3.565801e-8 * exp(x)))) + (x + x)) - x) / x) - x))) * x),False,True,used,pysr_warm_start,True
99,N10,1,1,1,1,360.56693983078003,479.01227474212646,1.3121503e-15,1.3205636e-15,(cos(y * cos(exp((-7.3811493 - log(y)) - cos(sin((sin(x) / sin(y - 0.6443924)) - ((0.7092838 - y) / 2.2806387)))))) * 1.9999999) * sin(x),(cos(y) + cos(y / ((0.9999999 ^ (x * (0.73380476 / y))) ^ cos((-0.85267776 - y) / (x * 0.10084015))))) * sin(x),False,True,used,pysr_warm_start,True
99,N11,1,1,1,1,450.5803425312042,576.3437099456787,4.7014336e-16,5.1151854e-16,(((x - 0.0011519645) * ((0.29485506 + ((sqrt(y) + x) * x)) ^ cos(exp(sin(sin(sin(sin(exp(y))) * -4.1778464)))))) * 2.2892573e-8) + (x ^ y),x ^ (y / ((1.0000002 ^ (-0.09971564 / log(x))) ^ (0.7072114 ^ cos((y * x) * y)))),False,True,used,pysr_warm_start,True
99,N12,1,1,1,1,222.9041919708252,345.6378860473633,1.6545413e-15,5.325374e-05,((((((x ^ 3.0) * x) + ((y * y) / 2.0)) - (y * (y * ((x ^ 3.0) / (y * y))))) * x) / x) - y,((exp((-0.8097719 - x) * 3.759829) - y) + cos(cos(0.04305472 - (sin(sin(exp(x) + (x * 1.3992044))) * 0.6140371)))) + ((0.3792218 - cos(y)) * 1.067773),False,False,used,pysr_warm_start,True
99,N2,1,1,1,1,218.20800971984863,199.99895119667053,3.012781e-15,2.380149e-15,((((x * x) / ((((x / x) + x) - x) ^ x)) + x) + (x ^ 4.0)) + ((x * x) * ((x * x) / x)),((sin(x) * 3.6484455e-8) + x) + ((((x * x) / x) + (((x + 3.664424e-8) * (x + 1.0)) * x)) * x),False,True,used,pysr_warm_start,True
99,N3,1,1,1,1,253.84961938858032,223.75171446800232,4.5049032e-15,5.0177745e-15,x + (x * (x * (((((x * (1.0 / x)) + x) / x) * x) + (((x * (x + 1.0)) * x) * (0.99999994 ^ exp(x)))))),(((x * (x + ((-3.2449734e-8 / x) * sin(exp(exp(x)) + 1.0488278)))) + x) * (((x * (x * x)) * 0.9999999) + x)) + x,False,True,used,pysr_warm_start,True
99,N4,1,1,1,1,266.6976246833801,219.55288195610046,3.596494e-15,4.9148456e-15,(x - 0.0074950545) + ((x ^ 5.0) + ((x ^ 4.0) + (((x ^ 3.0) + ((x ^ 6.0) + (x ^ ((x + 2.0) - x)))) + 0.0074950545))),((((0.93873847 * x) + x) + ((((x * ((x * x) - -1.0000001)) * x) * x) + (x * 0.06126152))) - x) * ((x / x) + x),False,True,used,pysr_warm_start,True
99,N5,1,1,1,1,219.88248753547668,230.80437302589417,5.551115e-16,4.8849814e-16,(((x * (sin(x ^ 2.0) / x)) * cos(((x - -2.0007974e-8) ^ 2.0) / x)) - 0.95667887) + -0.043321118,((x * (sin(x * x) / x)) * cos(((x * x) - (sin(x / (x + -0.56393826)) * 3.2757832e-8)) / x)) + -1.0,False,True,used,pysr_warm_start,True
99,N6,1,1,1,1,247.29385995864868,254.94339418411255,1.0874331e-15,1.0396198e-15,(sin(x + 2.3906052e-8) - 1.2874631e-8) + (sin((x + 5.0809996e-9) * ((((x - 1.2874631e-8) / (x + 2.3906052e-8)) + ((1.8288333e-8 / x) + x)) + -9.702224e-9)) - -5.8429177e-9),sin((((x / x) + x) + (sin(exp(x) * (x + ((x - -0.028066278) + exp(x * x)))) * -1.02774656e-7)) * (x + -4.2779957e-9)) + sin(x),False,True,used,pysr_warm_start,True
99,N7,1,1,1,1,428.22628355026245,524.3691811561584,3.7467643e-15,1.5658463e-09,log((x + ((((((x ^ (((x + 1.0) - x) ^ 2.6524003)) - x) + ((x ^ 2.0) * x)) + x) + (x ^ 2.0)) - x)) + 1.0),(0.98568684 + (0.3629195 * (((x / (1.0015043 ^ cos((sqrt(x + 0.064056836) + cos(sin(x))) ^ x))) - -0.10354866) / (x ^ log(x + 0.86474115))))) * x,False,False,used,pysr_warm_start,True
99,N8,1,1,1,1,300.1282618045807,278.48575830459595,1.6819878e-15,1.5931701e-15,sqrt(x) + (2.7197107e-9 / cos(x + log(x ^ (x + log(x ^ (x + x)))))),sqrt(x - (2.3307347e-9 / (sin((x + -1.2119195) * (x ^ x)) / (x ^ (log(5.376646 - x) + 0.99969596))))),True,True,used,pysr_warm_start,True
99,N9,1,1,1,1,261.96643805503845,249.2115442752838,4.7850453e-16,5.334312e-16,(((y * y) * -5.2962154e-8) / (1.4058044 - x)) + (sin(x) + sin(y * ((((exp(x * 0.7580312) - -0.21896556) - exp(y)) * -2.2188624e-8) + y))),(sin((y * y) - ((sin(x - 0.22371322) - y) * (y * 2.5602382e-8))) + sin(x)) - (((y * 1.9600948e-8) * exp(x - -0.6552924)) * y),False,True,used,pysr_warm_start,True
