seed,nguyen_id,h_observed_iterations,p_observed_iterations,h_first_threshold_iteration,p_first_threshold_iteration,h_first_threshold_time_seconds,p_first_threshold_time_seconds,h_final_best_loss,p_final_best_loss,h_final_expression,p_final_expression,same_final_expression,same_final_r2,warm_start_status,effective_method,h_independent_fit
777,N1,1,1,1,1,211.09872126579285,184.68603444099426,1.5459856e-15,1.2910897e-15,(x + ((x ^ 3.0) / x)) + (((x * x) ^ ((x / sin(x)) * (sin(x) / x))) * ((x * x) / x)),((((x * x) + -1.4924781e-8) + (x * 1.5844302e-8)) + x) + (((((x * x) - -1.5156202e-8) + (1.3670639e-8 / x)) / x) * ((x * x) + -1.4924781e-8)),False,True,used,pysr_warm_start,True
777,N10,1,1,1,1,334.4510455131531,334.4510455131531,1.3141456e-15,1.3141456e-15,sin(x) * (cos(((sin(-2.630505 / (0.64445615 - x)) * -3.041351e-8) / sin(sin((0.48965117 + x) / (y ^ 0.64445615)))) - y) + cos(y - 1.613141e-8)),sin(x) * (cos(((sin(-2.630505 / (0.64445615 - x)) * -3.041351e-8) / sin(sin((0.48965117 + x) / (y ^ 0.64445615)))) - y) + cos(y - 1.613141e-8)),True,True,no_candidates_returned,pysr_cold_copy,False
777,N11,1,1,1,1,412.74935960769653,428.25075340270996,3.4930553e-16,2.8985602e-16,(x ^ y) + ((-1.9411102e-8 * x) * (cos(exp((y / 0.4997264) * exp(x))) - (((x ^ cos(x)) / sin(y)) ^ cos(x ^ x)))),(x ^ y) + (((y * 1.4495636e-8) * exp(sin(cos(sin(y * exp(x))) ^ -5.851479))) * (x ^ exp(exp(sin(cos(y * (y ^ 2.3406596))))))),False,True,used,pysr_warm_start,True
777,N12,1,1,1,1,242.0491921901703,361.2063705921173,2.2170795e-15,5.188726e-05,((((y ^ 2.0) / 2.0) + (x ^ 4.0)) + (((cos((x - (-0.9946559 + y)) / exp(cos(x))) * (x * 3.392037e-8)) - x) ^ 3.0)) - y,(sin(sin(x + 0.026400955)) + ((exp(sin(-0.30503118 - y) * 0.8728703) - x) - cos(-0.64020234 / cos(1.7709559 / cos(cos(0.15541236 - x)))))) * 1.5221194,False,False,used,pysr_warm_start,True
777,N2,1,1,1,1,244.1165668964386,208.99559259414673,2.723848e-15,2.0478044e-15,(x + (x ^ 2.0)) + ((x / ((x ^ 2.0) / x)) * ((x ^ 4.0) + ((x ^ 3.0) * (0.99999994 ^ ((x + 0.55845386) / x))))),(x * (1.0 + x)) + ((x + (0.99999994 ^ (sin(exp(x)) / x))) * (((x + (x * x)) - ((x * x) / x)) * x)),False,True,used,pysr_warm_start,True
777,N3,1,1,1,1,246.6998906135559,381.02029156684875,4.693213e-15,1.0525144e-06,((((x * x) / x) ^ 2.0) + (x ^ 5.0)) + ((x ^ 3.0) + (((x ^ 4.0) / (((x * x) / x) / x)) + x)),(((x + ((x * 0.8984002) + (cos(-0.66942924 / (-0.55139494 / cos(cos(cos((-0.24952951 + x) / 0.43816623) + 0.13393414)))) + 2.3081226))) ^ x) * x) + -0.0020429199,False,False,used,pysr_warm_start,True
777,N4,1,1,1,1,229.73138165473938,257.30957984924316,6.833531e-15,5.9271164e-15,((x + ((x ^ 4.0) + ((x ^ 3.0) - sin(sin(x))))) + (x ^ 6.0)) + ((x ^ 5.0) + (sin(sin(x)) + (x ^ 2.0))),((((((x * x) * 4.3074849e-7) - ((((x * (x * x)) * -0.9999994) - x) * x)) + 0.99999994) * x) / x) * (x + (x * x)),False,True,used,pysr_warm_start,True
777,N5,1,1,1,1,215.7264862060547,205.01099348068237,4.8849814e-16,4.6629365e-16,((sin(((x ^ 2.0) * x) / x) * (cos(x) * ((x ^ 2.0) / x))) / ((x * x) / x)) + -1.0,-0.09173501 + ((((cos(x) * x) * sin((x * (x * x)) / x)) / x) - 0.908265),False,True,used,pysr_warm_start,True
777,N6,1,1,1,1,244.40684533119202,251.33189511299133,1.3982752e-15,1.5405863e-15,(sin(((x * x) * ((x * -5.812211e-8) + (x / (x + -9.741111e-9)))) + (x - -9.391128e-9)) + 2.8251392e-9) + ((sin(x) - 2.8251392e-9) + (exp(x) * -9.391128e-9)),sin(((((((x / x) / x) * x) - 5.4975e-8) ^ x) * ((x * x) - 2.1443893e-9)) + x) + sin(x),False,True,used,pysr_warm_start,True
777,N7,1,1,1,1,280.86481070518494,496.5136065483093,2.464706e-15,1.2854438e-08,log(((x + ((x - 8.443031e-8) * (x * x))) + ((x * (x + 6.3676275e-8)) ^ (((x * -0.37185052) / ((x / -0.37185052) * -0.37185052)) / -0.37185052))) + 1.0),(x * sin(sqrt(0.61014736 + (sin(sqrt(((x / 0.6984613) * sqrt(sin(sqrt(x / 0.6101484) * sin(sqrt(x))))) + 0.6104355)) * (x / 0.6984855))))) / 0.7133205,False,False,used,pysr_warm_start,True
777,N8,1,1,1,1,256.8897371292114,298.1423237323761,1.110223e-15,8.437695e-16,(3.150072e-9 / (x + -2.134245)) + (sqrt(x) + (6.4638668e-9 / (((x + 0.23449796) / x) + cos(x + ((x / -0.287513) / -0.287513))))),sqrt(((x ^ sqrt(x)) * (5.500491e-10 / cos(exp(exp(x))))) + x) + (9.716794e-10 / cos(exp(exp(x) - sin(x)) - (x + 3.6614032))),False,True,used,pysr_warm_start,True
777,N9,1,1,1,1,311.2983512878418,283.00996828079224,6.587836e-16,7.5621e-16,sin(x) + sin((y * ((y + (sin(exp(sin(x))) * (y * 3.758034e-8))) + (sin(exp(0.75296456 ^ y) * x) * (y * 3.758034e-8)))) + 6.406416e-9),sin(x) + sin(y * ((sin(exp(1.0 - (x * 1.2251449))) * (y * 3.857921e-8)) + ((sin(exp(0.95363814 - x)) * 1.7753468e-8) + y))),False,True,used,pysr_warm_start,True
